餐厅名称,餐厅详细地址
东大街（西安）餐厅,青海省西宁市东大街53号
同安餐厅,福建省厦门市同安区西安路西安广场一层二层
成义餐厅,辽宁省大连市西安路60号民勇大厦一楼
贺兰山（西安）餐厅,宁夏石嘴山市游艺东街6号一层
站前餐厅,陕西省西安市西八路19号西安汽车站售票大厅东墙以东站内房产一二层
西安明德门餐厅,陕西省西安市朱雀大街58号金水大厦一、二层
西安幸福餐厅,陕西省西安市长乐东路华润万家超一二层
西安兴庆餐厅,陕西省西安市兴庆路28号华润万家超一二层肯德基
西安莲湖餐厅,陕西省西安市莲湖路25#汉庭酒店一二层
西安文景餐厅,陕西省西安市凤城五路与文景路十字东南角人人乐超一楼
西安龙首餐厅,陕西省西安市龙首北路与未央路十字东南角龙首村宫园壹号一层+负一层
西安银泰城餐厅,陕西省西安市曲江新区雁南二路北侧银泰城-1F
西安机场T3到达餐厅,陕西省咸阳市国际机场3号航站综合交通枢纽1层大巴站
西安钟鼓楼餐厅,陕西省西安市回民街旁鼓坊商行一层
西安骊山餐厅,陕西省西安市人民南路全都超市一，二层
西安新世界餐厅,陕西省西安市宏府广场新世界百货负一层
西安科创餐厅,陕西省西安市高新区科创路枫叶大厦B0103.B0203（高新一中对面）
西安万科餐厅,陕西省西安市长安郭杜街办茅坡村西侧万科城西区商业48#楼1+2层
西安咸宁餐厅,陕西省西安市咸宁中路122号乐宁会一层二层
西安含元餐厅,陕西省西安市太华路华东茶城一层
西安盛龙餐厅,陕西省西安市未央路80号盛龙广场1.2层
西安唐兴路餐厅,陕西省西安市高新区团结南路与唐兴路十字西南角睿中心一层
中央大道餐厅,辽宁省大连市西安路107号中央大道4层
中央大道甜品站餐厅,辽宁省大连市沙河口区西安路103-1.103-2.103-3号L4-007.L1-009-B商铺
西安华为园区餐厅,陕西省西安市锦业路127号华为基地
西安T11餐厅,陕西省西安市唐延路11号T11 商场F座一层肯德基餐厅
西安北客站二号餐厅,陕西省西安市34B检票口上方，地铁四号线进站，仅限站内旅客购买 029-63618592
西安机场T3出发餐厅,陕西省咸阳市国际机场T3航站楼3FBci-2
福佳餐厅,辽宁省大连市西安路99B号一层
长兴里甜品站餐厅,辽宁省大连市西安路107号-1层BD01号倍客优超市内的L03号摊位
西安交大创新港餐厅,陕西省西安市8号市辖区西咸新区沣西新城励志东路中国西部科技创新港道科广场一层10107、1010
西安外事学院餐厅,陕西省西安市鱼斗路18号
西安交大创新港餐厅,陕西省西安市8号市辖区西咸新区沣西新城励志东路中国西部科技创新港道科广场一层10107、1010
长兴里甜品站餐厅,辽宁省大连市西安路107号-1层BD01号倍客优超市内的L03号摊位
新安润发餐厅,黑龙江省牡丹江市新西安街南，西五条路西
西安外事学院餐厅,陕西省西安市鱼斗路18号
新安润发餐厅,黑龙江省牡丹江市新西安街南，西五条路西
福佳餐厅,辽宁省大连市西安路99B号一层
环普产业园餐厅,陕西省西安市雁塔区高新区211号天谷八路西安环普科技产业园A2-101
西安门餐厅,江苏省南京市中山东路301号B1层02号
新罗斯福餐厅,辽宁省大连市天兴罗斯福广场1层（正门临街，正对西安路地铁B口）
新罗斯福餐厅,辽宁省大连市天兴罗斯福广场1层（正门临街，正对西安路地铁B口）
罗斯福外卖点餐厅,辽宁省大连市西安路139号大连罗斯福广场B1 层 B1121 号商铺
罗斯福外卖点餐厅,辽宁省大连市西安路139号大连罗斯福广场B1 层 B1121 号商铺
